DF;Cancer;mean.DF.w;sd.DF.w;high.DF.w;n.w;n.con.w;mean.DF.m;sd.DF.m;high.DF.m;n.m;n.con.m;RR;RR.lowCI;RR.highCI;RR.div
Pme;Col;29.3;22.4;107.8;1245;991;40.7;31;139.8;1068;931;1.16;1.1;1.28;50
Rme;Col;60.33;37.83;203.2;1245;993;74.97;51.43;252.7;1068;891;1.12;1;1.25;100
Dai;Col;194.5;117;504.5;1245;1235;178.5;126;556.3;1068;1062;0.87;0.83;0.9;400
Nsv;Ora;213.3;102.6;554.4;1245;1244;232.9;120.2;618.9;1068;1067;0.96;0.92;1.01;25
Nsv;Nas;213.3;102.6;554.4;1245;1244;232.9;120.2;618.9;1068;1067;0.74;0.6;0.92;100
Nsv;Aes;213.3;102.6;554.4;1245;1244;232.9;120.2;618.9;1068;1067;0.89;0.8;0.99;100
Nsv;Ses;213.3;102.6;554.4;1245;1244;232.9;120.2;618.9;1068;1067;0.91;0.81;1.03;100
Nsv;Col;213.3;102.6;554.4;1245;1244;232.9;120.2;618.9;1068;1067;0.98;0.96;0.99;100
Nsv;Lun;213.3;102.6;554.4;1245;1244;232.9;120.2;618.9;1068;1067;0.94;0.89;0.98;100
Fru;Ses;228.2;143.8;682;1245;1181;214.7;157.8;747.8;1068;995;0.84;0.75;0.94;100
Fru;Sto;228.2;143.8;682;1245;1181;214.7;157.8;747.8;1068;995;0.98;0.94;1.02;100
Fru;Lun;228.2;143.8;682;1245;1181;214.7;157.8;747.8;1068;995;0.92;0.89;0.95;100
Fib;Col;17.7;6.3;28.7;1245;1245;19.6;7.3;32.8;1068;1068;0.93;0.87;1;10
Cfr;Sca;96.8;101;440;1245;636;108.3;123.8;604.7;1068;478;0.87;0.76;0.99;1
Cof;Liv;102.29;70.87;348;1245;1095;114.16;77.63;376.5;1068;971;0.66;0.55;0.78;1
Cof;End;102.29;70.87;348;1245;1095;114.16;77.63;376.5;1068;971;0.87;0.79;0.95;1
